customer_id,fullname,phone,email,address,registered_date
1,Бат Сүх,94821138,user1@mail.com,"УБ, БЗД",2022-11-13
2,Ананд Төгс,98858945,user2@mail.com,Ховд,2024-08-21
3,Тэмүүлэн Төгс,93835175,user3@mail.com,Архангай,2023-02-12
4,Өнөр Төмөр,95039817,user4@mail.com,"УБ, БЗД",2022-11-16
5,Энхжин Жаргал,99329173,user5@mail.com,"УБ, ЧД",2022-04-20
6,Бадрал Болд,92584109,user6@mail.com,Архангай,2023-01-08
7,Тэмүүлэн Болд,93850345,user7@mail.com,"УБ, СБД",2023-10-04
8,Саруул Эрдэнэ,93793747,user8@mail.com,Дархан,2022-08-28
9,Бат Отгон,91054922,user9@mail.com,"УБ, ЧД",2024-09-30
10,Марал Жаргал,94524771,user10@mail.com,Дархан,2024-06-25
11,Бат Ганбат,94015050,user11@mail.com,"УБ, СБД",2023-06-04
12,Марал Сэргэлэн,94261246,user12@mail.com,"УБ, СБД",2024-05-23
13,Хулан Баяр,94219145,user13@mail.com,Дархан,2024-08-08
14,Хулан Отгон,93096477,user14@mail.com,"УБ, СБД",2024-11-22
15,Хулан Эрдэнэ,91061420,user15@mail.com,"УБ, БЗД",2022-06-29
16,Бадрал Болд,91561486,user16@mail.com,"УБ, ЧД",2024-01-23
17,Бат Отгон,97749342,user17@mail.com,"УБ, БЗД",2023-12-12
18,Бат Жаргал,93819627,user18@mail.com,Ховд,2023-08-31
19,Бат Отгон,91389260,user19@mail.com,"УБ, ЧД",2023-12-21
20,Хулан Сэргэлэн,94290373,user20@mail.com,"УБ, СБД",2024-07-02
