customer_id,fullname,phone,email,address,registered_date
1,Бат Сүх,94821138,user1@mail.com,"УБ, БЗД",11/13/22
2,Ананд Төгс,98858945,user2@mail.com,Ховд,8/21/24
3,Тэмүүлэн Төгс,93835175,user3@mail.com,Архангай,2/12/23
4,Өнөр Төмөр,95039817,user4@mail.com,"УБ, БЗД",11/16/22
5,Энхжин Жаргал,99329173,user5@mail.com,"УБ, ЧД",4/20/22
6,Бадрал Болд,92584109,user6@mail.com,Архангай,1/8/23
7,Тэмүүлэн Болд,93850345,user7@mail.com,"УБ, СБД",10/4/23
8,Саруул Эрдэнэ,93793747,user8@mail.com,Дархан,8/28/22
9,Бат Отгон,91054922,user9@mail.com,"УБ, ЧД",9/30/24
10,Марал Жаргал,94524771,user10@mail.com,Дархан,6/25/24
11,Бат Ганбат,94015050,user11@mail.com,"УБ, СБД",6/4/23
12,Марал Сэргэлэн,94261246,user12@mail.com,"УБ, СБД",5/23/24
13,Хулан Баяр,94219145,user13@mail.com,Дархан,8/8/24
14,Хулан Отгон,93096477,user14@mail.com,"УБ, СБД",11/22/24
15,Хулан Эрдэнэ,91061420,user15@mail.com,"УБ, БЗД",6/29/22
16,Бадрал Болд,91561486,user16@mail.com,"УБ, ЧД",1/23/24
17,Бат Отгон,97749342,user17@mail.com,"УБ, БЗД",12/12/23
18,Бат Жаргал,93819627,user18@mail.com,Ховд,8/31/23
19,Бат Отгон,91389260,user19@mail.com,"УБ, ЧД",12/21/23
20,Хулан Сэргэлэн,94290373,user20@mail.com,"УБ, СБД",7/2/24
